Blocks with IP
   2.00
11
10
   1.00
Type of measurement (0=app. resistivity,1=resistance)
0
530
1
1
Chargability
msec
0.10,1.00
3    26.0000,0.0     20.0000,0.0     18.0000,0.0     116.5681    -0.7640
3    28.0000,0.0     22.0000,0.0     20.0000,0.0     130.0730     6.5218
3    30.0000,0.0     24.0000,0.0     22.0000,0.0     145.5782    15.7286
3    32.0000,0.0     26.0000,0.0     24.0000,0.0     164.7818    28.2398
3    34.0000,0.0     28.0000,0.0     26.0000,0.0     190.9031    38.6964
3    36.0000,0.0     30.0000,0.0     28.0000,0.0     196.2612    30.0238
3    38.0000,0.0     32.0000,0.0     30.0000,0.0     152.0756    12.0438
3    40.0000,0.0     34.0000,0.0     32.0000,0.0     119.7586     3.7384
3    42.0000,0.0     36.0000,0.0     34.0000,0.0      84.1994    -1.2082
3    44.0000,0.0     38.0000,0.0     36.0000,0.0      61.5479    18.0255
3    46.0000,0.0     40.0000,0.0     38.0000,0.0      94.5536    14.3171
3    48.0000,0.0     42.0000,0.0     40.0000,0.0      96.3721    14.1888
3    50.0000,0.0     44.0000,0.0     42.0000,0.0     102.3493    17.2868
