Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
2   115.0000,0.0    150.0000,0.0     376.7884
2   120.0000,0.0    155.0000,0.0     369.6864
2   125.0000,0.0    160.0000,0.0     367.5599
2   130.0000,0.0    165.0000,0.0     367.1122
2   135.0000,0.0    170.0000,0.0     367.5661
2   140.0000,0.0    175.0000,0.0     369.6986
2   145.0000,0.0    180.0000,0.0     376.8061
2   150.0000,0.0    185.0000,0.0     394.9093
2   155.0000,0.0    190.0000,0.0     428.6559
2   160.0000,0.0    195.0000,0.0     473.1487
2   165.0000,0.0    200.0000,0.0     515.7601
2   170.0000,0.0    205.0000,0.0     551.1482
2   175.0000,0.0    210.0000,0.0     579.6297
2   180.0000,0.0    215.0000,0.0     602.6657
2   185.0000,0.0    220.0000,0.0     621.5531
2   190.0000,0.0    225.0000,0.0     637.2648
2   195.0000,0.0    230.0000,0.0     650.5114
2   200.0000,0.0    235.0000,0.0     661.8152
2   205.0000,0.0    240.0000,0.0     671.5657
2   210.0000,0.0    245.0000,0.0     680.0581
2   215.0000,0.0    250.0000,0.0     687.5191
2   220.0000,0.0    255.0000,0.0     694.1251
2   225.0000,0.0    260.0000,0.0     700.0144
2   230.0000,0.0    265.0000,0.0     705.2960
2   235.0000,0.0    270.0000,0.0     710.0557
2   240.0000,0.0    275.0000,0.0     714.3596
2   245.0000,0.0    280.0000,0.0     718.2570
2   250.0000,0.0    285.0000,0.0     721.7791
2   255.0000,0.0    290.0000,0.0     724.9359
2   260.0000,0.0    295.0000,0.0     727.7021
2     0.0000,0.0     40.0000,0.0     744.5189
2     5.0000,0.0     45.0000,0.0     741.1410
2    10.0000,0.0     50.0000,0.0     737.3383
2    15.0000,0.0     55.0000,0.0     733.1165
2    20.0000,0.0     60.0000,0.0     728.4509
2    25.0000,0.0     65.0000,0.0     723.2957
2    30.0000,0.0     70.0000,0.0     717.5854
2    35.0000,0.0     75.0000,0.0     711.2339
2    40.0000,0.0     80.0000,0.0     704.1311
2    45.0000,0.0     85.0000,0.0     696.1373
2    50.0000,0.0     90.0000,0.0     687.0752
2    55.0000,0.0     95.0000,0.0     676.7182
2    60.0000,0.0    100.0000,0.0     664.7736
2    65.0000,0.0    105.0000,0.0     650.8589
2    70.0000,0.0    110.0000,0.0     634.4675
2    75.0000,0.0    115.0000,0.0     614.9207
2    80.0000,0.0    120.0000,0.0     591.3068
2    85.0000,0.0    125.0000,0.0     562.4442
2    90.0000,0.0    130.0000,0.0     527.0768
2    95.0000,0.0    135.0000,0.0     485.1916
2   100.0000,0.0    140.0000,0.0     442.2915
2   105.0000,0.0    145.0000,0.0     410.4849
2   110.0000,0.0    150.0000,0.0     393.9867
2   115.0000,0.0    155.0000,0.0     387.8963
2   120.0000,0.0    160.0000,0.0     386.2241
2   125.0000,0.0    165.0000,0.0     385.8210
2   130.0000,0.0    170.0000,0.0     385.8246
2   135.0000,0.0    175.0000,0.0     386.2350
2   140.0000,0.0    180.0000,0.0     387.9141
2   145.0000,0.0    185.0000,0.0     394.0107
2   150.0000,0.0    190.0000,0.0     410.5149
2   155.0000,0.0    195.0000,0.0     442.3280
2   160.0000,0.0    200.0000,0.0     485.2353
2   165.0000,0.0    205.0000,0.0     527.1282
2   170.0000,0.0    210.0000,0.0     562.5037
2   175.0000,0.0    215.0000,0.0     591.3745
2   180.0000,0.0    220.0000,0.0     614.9966
2   185.0000,0.0    225.0000,0.0     634.5518
2   190.0000,0.0    230.0000,0.0     650.9515
2   195.0000,0.0    235.0000,0.0     664.8748
2   200.0000,0.0    240.0000,0.0     676.8278
2   205.0000,0.0    245.0000,0.0     687.1933
2   210.0000,0.0    250.0000,0.0     696.2639
2   215.0000,0.0    255.0000,0.0     704.2661
2   220.0000,0.0    260.0000,0.0     711.3774
2   225.0000,0.0    265.0000,0.0     717.7374
2   230.0000,0.0    270.0000,0.0     723.4560
2   235.0000,0.0    275.0000,0.0     728.6194
2   240.0000,0.0    280.0000,0.0     733.2932
2   245.0000,0.0    285.0000,0.0     737.5232
2   250.0000,0.0    290.0000,0.0     741.3339
2   255.0000,0.0    295.0000,0.0     744.7197
2     0.0000,0.0     45.0000,0.0     756.5983
2     5.0000,0.0     50.0000,0.0     752.5619
2    10.0000,0.0     55.0000,0.0     748.0566
2    15.0000,0.0     60.0000,0.0     743.0697
2    20.0000,0.0     65.0000,0.0     737.5613
2    25.0000,0.0     70.0000,0.0     731.4689
2    30.0000,0.0     75.0000,0.0     724.7080
2    35.0000,0.0     80.0000,0.0     717.1693
2    40.0000,0.0     85.0000,0.0     708.7141
2    45.0000,0.0     90.0000,0.0     699.1666
2    50.0000,0.0     95.0000,0.0     688.3032
2    55.0000,0.0    100.0000,0.0     675.8371
2    60.0000,0.0    105.0000,0.0     661.3970
2    65.0000,0.0    110.0000,0.0     644.4968
2    70.0000,0.0    115.0000,0.0     624.4940
2    75.0000,0.0    120.0000,0.0     600.5416
2    80.0000,0.0    125.0000,0.0     571.5706
2    85.0000,0.0    130.0000,0.0     536.5127
2    90.0000,0.0    135.0000,0.0     495.6048
2    95.0000,0.0    140.0000,0.0     454.4158
2   100.0000,0.0    145.0000,0.0     424.5006
2   105.0000,0.0    150.0000,0.0     409.4753
2   110.0000,0.0    155.0000,0.0     404.2747
2   115.0000,0.0    160.0000,0.0     403.0167
2   120.0000,0.0    165.0000,0.0     402.7527
2   125.0000,0.0    170.0000,0.0     402.7132
2   130.0000,0.0    175.0000,0.0     402.7610
2   135.0000,0.0    180.0000,0.0     403.0331
2   140.0000,0.0    185.0000,0.0     404.2989
2   145.0000,0.0    190.0000,0.0     409.5064
2   150.0000,0.0    195.0000,0.0     424.5386
2   155.0000,0.0    200.0000,0.0     454.4610
2   160.0000,0.0    205.0000,0.0     495.6581
2   165.0000,0.0    210.0000,0.0     536.5748
2   170.0000,0.0    215.0000,0.0     571.6417
2   175.0000,0.0    220.0000,0.0     600.6218
2   180.0000,0.0    225.0000,0.0     624.5836
2   185.0000,0.0    230.0000,0.0     644.5958
2   190.0000,0.0    235.0000,0.0     661.5054
2   195.0000,0.0    240.0000,0.0     675.9550
2   200.0000,0.0    245.0000,0.0     688.4305
2   205.0000,0.0    250.0000,0.0     699.3035
2   210.0000,0.0    255.0000,0.0     708.8605
2   215.0000,0.0    260.0000,0.0     717.3251
2   220.0000,0.0    265.0000,0.0     724.8732
2   225.0000,0.0    270.0000,0.0     731.6436
2   230.0000,0.0    275.0000,0.0     737.7452
2   235.0000,0.0    280.0000,0.0     743.2629
2   240.0000,0.0    285.0000,0.0     748.2589
2   245.0000,0.0    290.0000,0.0     752.7733
2   250.0000,0.0    295.0000,0.0     756.8186
2     0.0000,0.0     50.0000,0.0     764.6904
2     5.0000,0.0     55.0000,0.0     759.9513
2    10.0000,0.0     60.0000,0.0     754.6894
2    15.0000,0.0     65.0000,0.0     748.8743
2    20.0000,0.0     70.0000,0.0     742.4490
2    25.0000,0.0     75.0000,0.0     735.3323
2    30.0000,0.0     80.0000,0.0     727.4179
2    35.0000,0.0     85.0000,0.0     718.5696
2    40.0000,0.0     90.0000,0.0     708.6151
2    45.0000,0.0     95.0000,0.0     697.3357
2    50.0000,0.0    100.0000,0.0     684.4534
2    55.0000,0.0    105.0000,0.0     669.6107
2    60.0000,0.0    110.0000,0.0     652.3443
2    65.0000,0.0    115.0000,0.0     632.0503
2    70.0000,0.0    120.0000,0.0     607.9459
2    75.0000,0.0    125.0000,0.0     579.0692
2    80.0000,0.0    130.0000,0.0     544.5195
2    85.0000,0.0    135.0000,0.0     504.7381
2    90.0000,0.0    140.0000,0.0     465.2921
2    95.0000,0.0    145.0000,0.0     437.1789
2   100.0000,0.0    150.0000,0.0     423.4880
2   105.0000,0.0    155.0000,0.0     419.0604
2   110.0000,0.0    160.0000,0.0     418.1541
2   115.0000,0.0    165.0000,0.0     418.0268
2   120.0000,0.0    170.0000,0.0     418.0264
2   125.0000,0.0    175.0000,0.0     418.0311
2   130.0000,0.0    180.0000,0.0     418.0407
2   135.0000,0.0    185.0000,0.0     418.1770
2   140.0000,0.0    190.0000,0.0     419.0919
2   145.0000,0.0    195.0000,0.0     423.5273
2   150.0000,0.0    200.0000,0.0     437.2257
2   155.0000,0.0    205.0000,0.0     465.3470
2   160.0000,0.0    210.0000,0.0     504.8019
2   165.0000,0.0    215.0000,0.0     544.5930
2   170.0000,0.0    220.0000,0.0     579.1526
2   175.0000,0.0    225.0000,0.0     608.0396
2   180.0000,0.0    230.0000,0.0     632.1544
2   185.0000,0.0    235.0000,0.0     652.4588
2   190.0000,0.0    240.0000,0.0     669.7356
2   195.0000,0.0    245.0000,0.0     684.5889
2   200.0000,0.0    250.0000,0.0     697.4816
2   205.0000,0.0    255.0000,0.0     708.7714
2   210.0000,0.0    260.0000,0.0     718.7365
2   215.0000,0.0    265.0000,0.0     727.5953
2   220.0000,0.0    270.0000,0.0     735.5201
2   225.0000,0.0    275.0000,0.0     742.6470
2   230.0000,0.0    280.0000,0.0     749.0826
2   235.0000,0.0    285.0000,0.0     754.9080
2   240.0000,0.0    290.0000,0.0     760.1800
2   245.0000,0.0    295.0000,0.0     764.9291
