Pole-dipole 4 boreholes test
1.0
12
1160
2
0
Surface Electrodes
16
0.0,  0.0
1.0,  0.0
2.0,  0.0
3.0,  0.0
4.0,  0.0
5.0,  0.0
6.0,  0.0
7.0,  0.0
8.0,  0.0
9.0,  0.0
10.0, 0.0
11.0, 0.0
12.0, 0.0
13.0, 0.0
14.0, 0.0
15.0, 0.0
Number of boreholes
4
Borehole 1 Electrodes
11
  4.0 1.0
  4.0 2.0
  4.0 3.0
  4.0 4.0
  4.0 5.0
  4.0 6.0
  4.0 7.0
  4.0 8.0
  4.0 9.0
  4.0 10.0
  4.0 11.0
Borehole 2 Electrodes
11
  5.0 1.0
  5.0 2.0
  5.0 3.0
  5.0 4.0
  5.0 5.0
  5.0 6.0
  5.0 7.0
  5.0 8.0
  5.0 9.0
  5.0 10.0
  5.0 11.0
Borehole 3 Electrodes
11
 10.0 1.0
 10.0 2.0
 10.0 3.0
 10.0 4.0
 10.0 5.0
 10.0 6.0
 10.0 7.0
 10.0 8.0
 10.0 9.0
 10.0 10.0
 10.0 11.0
Borehole 4 Electrodes
11
11.0 1.0
11.0 2.0
11.0 3.0
11.0 4.0
11.0 5.0
11.0 6.0
11.0 7.0
11.0 8.0
11.0 9.0
11.0 10.0
11.0 11.0
Error estimate for data present
Type of error estimate (0=same unit as data)
0
Measured Data
3    4.000    1.000   4.000    5.000    4.000    6.000  115.009799  0.679753
3    4.000    1.000   4.000    6.000    4.000    7.000  119.626563  2.193550
3    4.000    1.000   4.000    7.000    4.000    8.000  113.451185  0.543299
3    4.000    1.000   4.000    8.000    4.000    9.000  112.219126  2.177591
3    4.000    1.000   4.000    9.000    4.000   10.000  107.559685  0.465050
3    4.000    1.000   4.000   10.000    4.000   11.000  103.311553  2.012101
3    4.000    1.000   1.000    0.000    0.000    0.000  103.874540  0.563260
3    4.000    1.000   2.000    0.000    1.000    0.000  100.500151  1.841570
3    4.000    1.000   3.000    0.000    2.000    0.000  101.459605  0.661288
3    4.000    1.000   4.000    0.000    3.000    0.000  103.084733  1.770445
3    4.000    1.000   4.000    0.000    5.000    0.000  105.991998  0.806787
3    4.000    1.000   5.000    0.000    6.000    0.000   94.867465  1.520642
3    4.000    1.000   6.000    0.000    7.000    0.000  100.956813  0.480259
3    4.000    1.000   7.000    0.000    8.000    0.000  104.207308  1.551115
3    4.000    1.000   8.000    0.000    9.000    0.000  113.366871  0.663624
3    4.000    1.000   9.000    0.000   10.000    0.000  116.102435  1.595625
3    4.000    1.000  10.000    0.000   11.000    0.000  119.247068  0.828679
3    4.000    1.000  11.000    0.000   12.000    0.000  114.886253  1.448189
3    4.000    1.000  12.000    0.000   13.000    0.000  114.156543  0.917949
3    4.000    1.000  13.000    0.000   14.000    0.000  109.020507  1.250344
3    4.000    1.000  14.000    0.000   15.000    0.000  108.794463  0.993492
3    4.000    1.000  11.000    2.000   11.000    3.000  160.399987  1.657920
3    4.000    1.000  11.000    3.000   11.000    4.000  158.810791  1.623063
3    4.000    1.000  11.000    4.000   11.000    5.000  134.037312  1.233775
3    4.000    1.000  11.000    5.000   11.000    6.000  112.213521  1.268552
3    4.000    1.000  11.000    6.000   11.000    7.000   92.735287  0.748912
3    4.000    1.000  11.000    7.000   11.000    8.000   86.406661  1.070433
3    4.000    1.000  11.000    8.000   11.000    9.000   83.021829  0.577056
3    4.000    1.000  11.000    9.000   11.000   10.000   85.837783  1.156189
3    4.000    1.000  11.000   10.000   11.000   11.000   86.113622  0.501765
3    4.000    2.000   4.000    3.000    4.000    4.000  104.144931  1.515003
3    4.000    2.000   4.000    4.000    4.000    5.000  105.599220  0.497018
3    4.000    2.000   4.000    5.000    4.000    6.000  115.313222  1.801595
3    4.000    2.000   4.000    6.000    4.000    7.000  116.061443  0.885869
3    4.000    2.000   4.000    7.000    4.000    8.000  116.822958  1.950521
3    4.000    2.000   4.000    8.000    4.000    9.000  110.412647  0.718495
3    4.000    2.000   4.000    9.000    4.000   10.000  110.408933  1.961760
3    4.000    2.000   4.000   10.000    4.000   11.000  106.105261  0.571451
3    4.000    2.000   1.000    0.000    0.000    0.000  106.303521  2.002496
3    4.000    2.000   2.000    0.000    1.000    0.000  103.187057  0.440125
3    4.000    2.000   3.000    0.000    2.000    0.000  101.996599  2.049032
3    4.000    2.000   4.000    0.000    3.000    0.000  107.933752  0.522283
3    4.000    2.000   4.000    0.000    5.000    0.000   96.224965  1.822101
3    4.000    2.000   5.000    0.000    6.000    0.000   99.698736  0.591756
3    4.000    2.000   6.000    0.000    7.000    0.000  100.563793  1.788661
3    4.000    2.000   7.000    0.000    8.000    0.000  109.560783  0.770295
3    4.000    2.000   8.000    0.000    9.000    0.000  113.832748  1.893967
3    4.000    2.000   9.000    0.000   10.000    0.000  120.081892  0.500921
3    4.000    2.000  10.000    0.000   11.000    0.000  117.024297  1.813006
3    4.000    2.000  11.000    0.000   12.000    0.000  116.239233  0.612662
3    4.000    2.000  12.000    0.000   13.000    0.000  110.282651  1.582644
3    4.000    2.000  13.000    0.000   14.000    0.000  109.262575  0.695726
3    4.000    2.000  14.000    0.000   15.000    0.000  104.588909  1.381657
3    4.000    2.000  11.000    3.000   11.000    4.000  165.095886  1.231719
3    4.000    2.000  11.000    4.000   11.000    5.000  133.034842  1.606225
3    4.000    2.000  11.000    5.000   11.000    6.000  107.095055  0.915940
3    4.000    2.000  11.000    6.000   11.000    7.000   87.105555  0.952794
3    4.000    2.000  11.000    7.000   11.000    8.000   81.880069  0.789401
3    4.000    2.000  11.000    8.000   11.000    9.000   79.910809  0.783573
3    4.000    2.000  11.000    9.000   11.000   10.000   83.654828  0.897458
3    4.000    2.000  11.000   10.000   11.000   11.000   84.582912  0.733891
3    4.000    3.000   4.000    4.000    4.000    5.000  105.141029  1.242019
3    4.000    3.000   4.000    5.000    4.000    6.000  108.423175  0.818471
3    4.000    3.000   4.000    6.000    4.000    7.000  116.337779  1.500071
3    4.000    3.000   4.000    7.000    4.000    8.000  114.259492  0.733962
3    4.000    3.000   4.000    8.000    4.000    9.000  114.229986  1.596266
3    4.000    3.000   4.000    9.000    4.000   10.000  109.540679  0.580804
3    4.000    3.000   4.000   10.000    4.000   11.000  110.270759  1.659645
3    4.000    3.000   4.000    2.000    4.000    1.000  103.305422  0.432020
3    4.000    3.000   1.000    0.000    0.000    0.000  108.034178  1.742155
3    4.000    3.000   2.000    0.000    1.000    0.000  105.749909  0.751487
3    4.000    3.000   3.000    0.000    2.000    0.000  109.997881  1.891847
3    4.000    3.000   4.000    0.000    3.000    0.000  115.986090  0.693834
3    4.000    3.000   4.000    0.000    5.000    0.000   94.798957  1.731826
3    4.000    3.000   5.000    0.000    6.000    0.000  101.961465  0.495566
3    4.000    3.000   6.000    0.000    7.000    0.000  110.505980  2.136824
3    4.000    3.000   7.000    0.000    8.000    0.000  115.524443  0.491377
3    4.000    3.000   8.000    0.000    9.000    0.000  117.811973  2.303032
3    4.000    3.000   9.000    0.000   10.000    0.000  121.741513  0.651617
3    4.000    3.000  10.000    0.000   11.000    0.000  115.626719  2.127240
3    4.000    3.000  11.000    0.000   12.000    0.000  113.672811  0.732946
3    4.000    3.000  12.000    0.000   13.000    0.000  106.573931  1.838179
