Mixed array
 1.0
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
407
1
0
4      22.00 0.00      21.00 0.00      26.00 0.00      27.00 0.00      4.608
4      23.00 0.00      22.00 0.00      27.00 0.00      28.00 0.00      5.307
4      24.00 0.00      23.00 0.00      28.00 0.00      29.00 0.00      5.738
4      25.00 0.00      24.00 0.00      29.00 0.00      30.00 0.00      4.983
4      26.00 0.00      25.00 0.00      30.00 0.00      31.00 0.00      4.096
4      27.00 0.00      26.00 0.00      31.00 0.00      32.00 0.00      7.275
4      28.00 0.00      27.00 0.00      32.00 0.00      33.00 0.00     11.339
4      29.00 0.00      28.00 0.00      33.00 0.00      34.00 0.00     10.981
4       1.00 0.00       0.00 0.00       6.00 0.00       7.00 0.00      9.190
4       2.00 0.00       1.00 0.00       7.00 0.00       8.00 0.00      9.100
4       3.00 0.00       2.00 0.00       8.00 0.00       9.00 0.00     10.379
4       4.00 0.00       3.00 0.00       9.00 0.00      10.00 0.00     12.133
4       5.00 0.00       4.00 0.00      10.00 0.00      11.00 0.00     14.184
4       6.00 0.00       5.00 0.00      11.00 0.00      12.00 0.00     17.171
4       7.00 0.00       6.00 0.00      12.00 0.00      13.00 0.00     22.307
4       8.00 0.00       7.00 0.00      13.00 0.00      14.00 0.00     31.761
4       9.00 0.00       8.00 0.00      14.00 0.00      15.00 0.00     39.499
4      10.00 0.00       9.00 0.00      15.00 0.00      16.00 0.00     32.002
