X_Coord_m,Z_Coord_m,Std_Wenner_Apparent_Resistivity_Ohmm,PseudoDipole_Apparent_Resistivity_Ohmm,Relative_Error
83.75,-18.75,186.807,186.489,0.001702
86.25,-18.75,186.968,182.41,0.024379
88.75,-18.75,187.724,193.421,0.030348
91.25,-18.75,188.901,188.778,0.000651
93.75,-18.75,190.773,187.259,0.01842
96.25,-18.75,191.969,190.92,0.005464
98.75,-18.75,192.9,190.971,0.01
101.25,-18.75,193.697,199.215,0.028488
103.75,-18.75,194.569,195.68,0.00571
106.25,-18.75,195.092,191.596,0.01792
108.75,-18.75,195.817,194.655,0.005934
111.25,-18.75,196.497,195.574,0.004697
113.75,-18.75,197.01,196.509,0.002543
116.25,-18.75,197.121,193.722,0.017243
118.75,-18.75,197.981,194.276,0.018714
121.25,-18.75,198.461,195.53,0.014769
123.75,-18.75,198.417,197.466,0.004793
126.25,-18.75,198.731,202.994,0.021451
128.75,-18.75,199.065,193.03,0.030317
131.25,-18.75,198.785,192.413,0.032055
133.75,-18.75,198.715,199.078,0.001827
136.25,-18.75,199.397,172.423,0.135278
-135,-22.5,316.843,313.886,0.009333
-132.5,-22.5,316.819,317.761,0.002973
-130,-22.5,316.845,315.75,0.003456
-127.5,-22.5,316.878,324.986,0.025587
-125,-22.5,316.929,315.158,0.005588
-122.5,-22.5,316.962,322.709,0.018132
-120,-22.5,316.831,312.886,0.012451
-117.5,-22.5,316.775,310.35,0.020283
-115,-22.5,316.456,318.229,0.005603
-112.5,-22.5,316.231,321.615,0.017026
-110,-22.5,315.922,313.769,0.006815
-107.5,-22.5,315.526,308.151,0.023374
-105,-22.5,315.163,309.545,0.017826
-102.5,-22.5,314.627,310.501,0.013114
-100,-22.5,313.934,311.564,0.007549
-97.5,-22.5,313.222,318.472,0.016761
-95,-22.5,312.482,317.425,0.015819
-92.5,-22.5,311.965,303.746,0.026346
-90,-22.5,311.413,327.083,0.050319
-87.5,-22.5,310.918,309.559,0.004371
-85,-22.5,310.513,312.249,0.005591
-82.5,-22.5,309.953,312.629,0.008634
-80,-22.5,309.507,313.559,0.013092
-77.5,-22.5,308.772,304.168,0.014911
-75,-22.5,307.841,309.402,0.005071
-72.5,-22.5,306.894,307.345,0.00147
-70,-22.5,305.883,297.582,0.027138
-67.5,-22.5,304.411,305.507,0.0036
-65,-22.5,302.679,300.073,0.00861
-62.5,-22.5,300.821,294.341,0.021541
-60,-22.5,298.998,292.628,0.021304
-57.5,-22.5,297.385,294.188,0.01075
-55,-22.5,295.457,290.602,0.016432
-52.5,-22.5,293.35,291.661,0.005758
-50,-22.5,291.278,284.101,0.02464
-47.5,-22.5,289.166,293.816,0.016081
-45,-22.5,286.85,281.839,0.017469
-42.5,-22.5,284.51,281.789,0.009564
-40,-22.5,282.287,295.98,0.048507
-37.5,-22.5,279.848,274.278,0.019904
-35,-22.5,277.559,281.217,0.013179
-32.5,-22.5,275.315,265.236,0.036609
